iter	CrossEntropy
0	0.692995219
1	0.692852246
2	0.6927177482
3	0.6925912051
4	0.6924721465
5	0.668732915
6	0.6681235062
7	0.6544034991
8	0.6543109541
9	0.6542238836
10	0.6516693435
11	0.6437768113
12	0.643708164
13	0.6436435774
14	0.6435828109
15	0.6339044283
16	0.6225291636
17	0.6224816369
18	0.6224369218
19	0.6223948515
20	0.6123980964
21	0.6060366483
22	0.6060040373
23	0.605973355
24	0.6059444876
25	0.601086352
26	0.6010611123
27	0.6010373653
28	0.5814976206
29	0.5814747032
30	0.5814531411
31	0.5665535636
32	0.5665332302
33	0.5665140993
34	0.5634302345
35	0.563072461
36	0.5630554841
37	0.5630395077
38	0.5630244746
39	0.5630103304
40	0.546171982
41	0.54615604
42	0.5461410408
43	0.5461269326
44	0.5461136546
45	0.5461011618
46	0.5401225523
47	0.5324237906
48	0.5292380835
49	0.5253921313
50	0.5184099383
51	0.516600973
52	0.5134969944
53	0.5043294105
54	0.5043236543
55	0.5043182383
56	0.5010275568
57	0.5010228811
58	0.4999500545
59	0.4999427415
60	0.4999390453
61	0.4999355677
62	0.4999322957
63	0.4943221585
64	0.4943193766
65	0.4854043804
66	0.4853250471
67	0.4853222898
68	0.4853196956
69	0.4853172547
70	0.4853149591
71	0.4853127982
72	0.485310766
73	0.485308853
74	0.484352118
75	0.4843505875
76	0.4843491475
77	0.4818575331
78	0.4817799072
79	0.4817792201
80	0.4776597983
81	0.4707952505
82	0.4707945225
83	0.4694765626
84	0.4694760094
85	0.4694754888
86	0.4694749991
87	0.4639981431
88	0.4611915368
89	0.4611802636
90	0.4611800091
91	0.4601757875
92	0.4576025591
93	0.4546631381
94	0.4540484824
95	0.4537002217
96	0.4537001584
97	0.4536999944
98	0.453699822
99	0.4536996598
100	0.4536996409
101	0.4536994898
102	0.4536993472
103	0.4536993161
104	0.450112842
105	0.4501128051
106	0.449115937
107	0.449115927
108	0.4419639342
109	0.4419638805
110	0.4419637181
111	0.441963542
112	0.4419634373
113	0.4419633216
114	0.4419632552
115	0.4419630829
116	0.4419629793
117	0.4419628043
118	0.4419626949
119	0.4419626411
120	0.4410266254
121	0.4407566011
122	0.4407565997
123	0.4407565113
124	0.4407564443
125	0.4407564394
126	0.4407563604
127	0.440756323
128	0.4378156032
129	0.4378156028
130	0.4378156008
131	0.4290699222
132	0.4290699216
133	0.4191895655
134	0.4191895488
135	0.4191895358
136	0.4191895236
137	0.4191895153
138	0.4191894797
139	0.4191894647
140	0.4175608064
141	0.4175608029
142	0.4175608011
143	0.4175606541
144	0.4175606449
145	0.4175606402
146	0.4175606326
147	0.4175606071
148	0.41197225
149	0.4119722476
150	0.4104605969
151	0.4095032349
152	0.4095032077
153	0.4095032011
154	0.4095031913
155	0.4064932614
156	0.4064932473
157	0.4064932415
158	0.4064932407
159	0.4064879345
160	0.4050948177
161	0.405094806
162	0.4037184182
163	0.4037184164
164	0.4037184153
165	0.4037184144
166	0.4035964942
167	0.4030014462
168	0.403001443
169	0.4030014399
170	0.403001437
171	0.4029968777
172	0.4029968752
173	0.4029968742
174	0.4015353421
175	0.4015353419
176	0.3987247672
177	0.3987247608
178	0.3987247521
179	0.3987247516
180	0.3987247511
181	0.3987247506
182	0.3987247501
183	0.3987247452
184	0.3987247409
185	0.398724739
186	0.3987247343
187	0.3987247322
188	0.3987247285
189	0.3987247233
190	0.3987247232
191	0.3977224866
192	0.397722483
193	0.3977224778
194	0.3977224728
195	0.3965437784
196	0.3965437736
197	0.3965437664
198	0.3937940997
199	0.3937940984
200	0.3915213787
201	0.3904379634
202	0.3904379617
203	0.3904379586
204	0.3893055836
205	0.3893055831
206	0.3893022608
207	0.3893022598
208	0.3855410181
209	0.3855410061
210	0.385541001
211	0.3855409966
212	0.3851087679
213	0.3841440023
214	0.3841440006
215	0.384143995
216	0.3790923005
217	0.3790923002
218	0.3790922999
219	0.3790922998
220	0.3790922996
221	0.3777073227
222	0.3773149999
223	0.3769748367
224	0.374983833
225	0.3749726204
226	0.3749726203
227	0.3737852169
228	0.3735695097
229	0.3735695081
230	0.373569495
231	0.3735694886
