iter	Passed	Remaining
0	175	175612
1	180	90034
2	186	62006
3	189	47154
4	191	38085
5	215	35698
6	220	31338
7	223	27678
8	224	24689
9	225	22295
10	226	20333
11	229	18883
12	230	17491
13	231	16283
14	232	15240
15	233	14340
16	236	13662
17	237	12957
18	238	12318
19	239	11742
20	241	11263
21	244	10877
22	245	10429
23	246	10015
24	247	9639
25	250	9394
26	252	9089
27	253	8798
28	268	9006
29	270	8746
30	271	8484
31	287	8686
32	287	8437
33	289	8211
34	290	8003
35	293	7847
36	293	7647
37	294	7457
38	295	7276
39	296	7121
40	317	7423
41	318	7261
42	319	7102
43	319	6950
44	320	6806
45	321	6667
46	329	6684
47	336	6671
48	345	6704
49	348	6618
50	351	6537
51	354	6470
52	358	6400
53	379	6648
54	380	6533
55	381	6423
56	386	6390
57	387	6286
58	388	6188
59	390	6123
60	391	6029
61	392	5936
62	393	5848
63	396	5794
64	397	5712
65	415	5883
66	418	5829
67	419	5748
68	420	5669
69	420	5592
70	421	5517
71	422	5445
72	423	5375
73	424	5305
74	428	5290
75	429	5226
76	430	5161
77	440	5211
78	443	5174
79	444	5113
80	453	5149
81	457	5117
82	457	5058
83	462	5048
84	463	4991
85	464	4938
86	465	4889
87	471	4881
88	473	4851
89	477	4823
90	477	4773
91	478	4725
92	485	4730
93	490	4726
94	495	4723
95	499	4703
96	500	4657
97	501	4612
98	501	4567
99	502	4526
100	503	4482
101	504	4443
102	505	4402
103	506	4361
104	510	4348
105	511	4313
106	517	4314
107	517	4276
108	542	4435
109	543	4398
110	544	4363
111	546	4329
112	546	4293
113	548	4260
114	549	4226
115	550	4192
116	551	4159
117	552	4126
118	553	4096
119	554	4067
120	559	4066
121	565	4068
122	566	4036
123	566	4004
124	567	3973
125	568	3942
126	569	3911
127	569	3883
128	577	3901
129	578	3874
130	579	3845
131	590	3886
132	591	3858
133	613	3966
134	614	3937
135	615	3909
136	615	3880
137	616	3852
138	617	3825
139	618	3797
140	619	3771
141	620	3747
142	620	3721
143	623	3708
144	624	3683
145	625	3657
146	626	3632
147	626	3608
148	640	3659
149	641	3634
150	648	3648
151	656	3661
152	657	3638
153	657	3614
154	658	3592
155	661	3580
156	662	3557
157	663	3534
158	663	3511
159	666	3500
160	669	3490
161	670	3468
162	674	3461
163	674	3440
164	675	3418
165	676	3397
166	681	3397
167	681	3377
168	682	3356
169	683	3337
170	684	3318
171	687	3310
172	688	3292
173	689	3273
174	693	3269
175	694	3250
176	699	3252
177	700	3234
178	701	3216
179	702	3198
180	702	3180
181	703	3162
182	704	3143
183	704	3126
184	705	3108
185	706	3091
186	707	3074
187	707	3057
188	708	3040
189	709	3024
190	710	3007
191	716	3013
192	716	2997
193	717	2981
194	718	2965
195	723	2966
196	724	2953
197	725	2938
198	728	2932
199	729	2916
200	732	2911
201	735	2904
202	736	2889
203	736	2875
204	742	2878
205	742	2863
206	746	2857
207	746	2843
208	756	2864
209	757	2849
210	758	2835
211	759	2821
212	759	2808
213	762	2802
214	763	2788
215	764	2774
216	772	2787
217	773	2773
218	774	2760
219	774	2746
220	775	2733
221	780	2734
222	781	2722
223	784	2718
224	793	2733
225	796	2728
226	797	2715
227	803	2722
228	807	2717
229	808	2705
230	808	2693
231	809	2680
232	812	2675
233	822	2691
234	822	2678
235	823	2666
236	824	2654
237	827	2649
238	828	2636
239	831	2631
240	834	2626
241	834	2615
242	835	2603
243	836	2591
244	837	2580
245	844	2588
246	858	2616
247	858	2604
248	859	2592
249	860	2580
250	863	2575
251	869	2579
252	882	2606
253	889	2612
254	906	2649
255	910	2645
256	911	2634
257	914	2629
258	914	2617
259	915	2606
260	916	2594
261	922	2597
262	925	2592
263	934	2606
264	935	2594
265	936	2583
266	943	2589
267	944	2578
268	951	2584
269	951	2573
270	952	2563
271	953	2552
272	956	2547
273	960	2544
274	965	2545
275	966	2534
276	967	2524
277	969	2519
278	970	2508
279	971	2498
280	972	2487
281	973	2477
282	973	2467
283	974	2457
284	983	2467
285	984	2457
286	985	2447
287	985	2437
288	986	2426
289	987	2416
290	994	2422
291	995	2412
292	1004	2422
293	1004	2413
294	1005	2403
295	1006	2393
296	1007	2384
297	1010	2379
298	1011	2370
299	1011	2361
300	1012	2351
301	1013	2342
302	1014	2333
303	1015	2323
304	1015	2314
305	1016	2305
306	1017	2296
307	1018	2287
308	1018	2278
309	1019	2269
310	1020	2261
311	1021	2252
312	1022	2243
313	1022	2234
314	1023	2225
315	1026	2222
316	1027	2213
317	1035	2219
318	1035	2211
319	1036	2202
320	1037	2194
321	1049	2210
322	1050	2201
323	1051	2193
324	1052	2185
325	1055	2181
326	1055	2172
327	1056	2164
328	1059	2160
329	1062	2157
330	1063	2149
331	1068	2149
332	1071	2146
333	1074	2142
334	1077	2139
335	1078	2131
336	1081	2127
337	1082	2119
338	1082	2111
339	1083	2103
340	1084	2095
341	1087	2092
342	1088	2084
343	1088	2076
344	1089	2068
345	1092	2065
346	1093	2057
347	1098	2058
348	1099	2050
349	1100	2043
350	1101	2035
351	1106	2036
352	1107	2029
353	1110	2025
354	1110	2018
355	1114	2015
356	1114	2007
357	1115	2000
358	1122	2003
359	1125	2000
360	1125	1993
361	1126	1985
362	1127	1979
363	1140	1992
364	1141	1985
365	1141	1977
366	1144	1973
367	1160	1993
368	1163	1990
369	1164	1983
370	1165	1976
371	1166	1968
372	1166	1961
373	1167	1954
374	1168	1947
375	1169	1940
376	1176	1944
377	1185	1951
378	1191	1951
379	1191	1944
380	1194	1941
381	1195	1934
382	1196	1927
383	1197	1921
384	1200	1917
385	1201	1910
386	1201	1903
387	1202	1897
388	1203	1890
389	1204	1883
390	1205	1877
391	1205	1870
392	1223	1889
393	1224	1883
394	1225	1876
395	1225	1869
396	1232	1872
397	1233	1865
398	1237	1863
399	1250	1876
400	1251	1869
401	1260	1875
402	1261	1869
403	1275	1881
404	1276	1875
405	1276	1868
406	1277	1861
407	1280	1858
408	1281	1851
409	1282	1845
410	1292	1851
411	1293	1845
412	1293	1838
413	1294	1832
414	1295	1825
415	1295	1819
416	1296	1812
417	1297	1806
418	1302	1805
419	1305	1802
420	1305	1795
421	1306	1789
422	1311	1789
423	1314	1785
424	1315	1779
425	1316	1773
426	1316	1767
427	1317	1760
428	1318	1754
429	1321	1751
430	1330	1756
431	1337	1759
432	1338	1752
433	1339	1746
434	1344	1745
435	1351	1747
436	1356	1746
437	1356	1740
438	1359	1737
439	1360	1731
440	1361	1725
441	1361	1719
442	1362	1713
443	1372	1719
444	1377	1718
445	1378	1712
446	1379	1706
447	1379	1700
448	1380	1694
449	1381	1688
450	1382	1682
451	1382	1676
452	1383	1670
453	1386	1667
454	1386	1661
455	1387	1655
456	1394	1657
457	1395	1651
458	1396	1645
459	1397	1640
460	1399	1636
461	1400	1631
462	1416	1643
463	1417	1637
464	1418	1631
465	1418	1626
466	1419	1620
467	1420	1614
468	1423	1611
469	1424	1606
470	1424	1600
471	1425	1594
472	1426	1589
473	1427	1583
474	1427	1578
475	1428	1572
476	1431	1569
477	1432	1563
478	1435	1561
479	1436	1556
480	1437	1551
481	1438	1545
482	1439	1540
483	1439	1534
484	1445	1534
485	1445	1529
486	1446	1523
487	1447	1518
488	1448	1513
489	1449	1508
490	1450	1503
491	1453	1500
492	1453	1495
493	1454	1489
494	1459	1489
495	1460	1484
496	1461	1478
497	1462	1473
498	1462	1468
499	1463	1463
500	1464	1458
501	1465	1453
502	1465	1448
503	1472	1449
504	1477	1448
505	1478	1443
506	1479	1438
507	1480	1434
508	1481	1429
509	1482	1424
510	1485	1421
511	1486	1416
512	1489	1413
513	1490	1409
514	1491	1404
515	1492	1399
516	1495	1396
517	1495	1391
518	1496	1387
519	1497	1382
520	1498	1377
521	1501	1375
522	1502	1370
523	1503	1365
524	1503	1360
525	1504	1355
526	1507	1353
527	1508	1348
528	1509	1343
529	1509	1338
530	1510	1334
531	1513	1331
532	1514	1327
533	1515	1322
534	1517	1318
535	1517	1313
536	1518	1309
537	1541	1324
538	1544	1321
539	1545	1316
540	1554	1318
541	1555	1314
542	1555	1309
543	1556	1304
544	1557	1300
545	1557	1295
546	1558	1290
547	1566	1292
548	1567	1287
549	1572	1286
550	1575	1284
551	1576	1279
552	1577	1275
553	1578	1270
554	1595	1279
555	1596	1274
556	1597	1270
557	1598	1266
558	1599	1261
559	1600	1257
560	1600	1252
561	1604	1250
562	1604	1245
563	1605	1241
564	1606	1236
565	1607	1232
566	1607	1227
567	1610	1225
568	1616	1224
569	1624	1225
570	1625	1221
571	1626	1216
572	1627	1212
573	1627	1208
574	1631	1205
575	1652	1216
576	1653	1212
577	1654	1207
578	1660	1207
579	1661	1203
580	1662	1198
581	1667	1197
582	1668	1193
583	1669	1189
584	1678	1190
585	1679	1186
586	1684	1185
587	1687	1182
588	1688	1178
589	1710	1188
590	1711	1184
591	1711	1179
592	1712	1175
593	1713	1171
594	1714	1166
595	1715	1162
596	1715	1158
597	1716	1154
598	1717	1149
599	1720	1146
600	1721	1142
601	1721	1138
602	1722	1134
603	1723	1129
604	1726	1127
605	1729	1124
606	1736	1124
607	1739	1121
608	1740	1117
609	1741	1113
610	1742	1109
611	1759	1115
612	1760	1111
613	1760	1106
614	1761	1102
615	1762	1098
616	1763	1094
617	1763	1090
618	1771	1090
619	1774	1087
620	1774	1083
621	1781	1082
622	1782	1078
623	1782	1074
624	1787	1072
625	1793	1071
626	1793	1067
627	1796	1064
628	1799	1061
629	1802	1058
630	1803	1054
631	1804	1050
632	1805	1046
633	1805	1042
634	1806	1038
635	1807	1034
636	1808	1030
637	1809	1026
638	1812	1024
639	1813	1020
640	1814	1016
641	1814	1012
642	1821	1011
643	1834	1014
644	1835	1010
645	1843	1010
646	1844	1006
647	1845	1002
648	1845	998
649	1848	995
650	1849	991
651	1850	987
652	1855	985
653	1856	981
654	1861	980
655	1862	976
656	1862	972
657	1863	968
658	1864	964
659	1864	960
660	1865	956
661	1869	954
662	1870	950
663	1870	946
664	1876	945
665	1876	941
666	1877	937
667	1880	934
668	1881	930
